date,mileage,location,gallons,price_per_gallon
6/21/2003,37733,"Cambridge, MA",14.3,$1.73
7/11/2003,38150,"Needham, MA",14.2,$1.83
7/21/2003,38566,"Cambridge, MA",14.0,$1.83
7/26/2003,38992,"Falmouth, MA",4.0,$1.74
7/27/2003,39124,"Newton, MA",14.0,$1.79
8/7/2003,39452,"Amherst, MA",11.1,$1.69
9/7/2003,39839,"Westminster, MA",13.2,$1.99
9/12/2003,40263,"Albany, NY",13.9,$1.96
9/15/2003,40687,"Orange, MA",13.2,$1.93
9/23/2003,41096,"Orange, MA",13.7,$1.93
10/8/2003,41538,"Hadley, MA",14.6,$1.89
10/16/2003,41926,"Concord, MA",6.0,$1.83
10/18/2003,,,,
10/20/2003,42164,"Cambridge, MA",2.2,$1.99
11/1/2003,42588,"Charlton, MA",,$1.86
11/8/2003,42978,"Orange, MA",12.9,$1.79
11/22/2003,43407,"Hadley, MA",14.3,$1.78
11/28/2003,43826,"Orange, MA",13.3,$1.76
12/8/2003,44240,"Orange, MA",13.7,$1.76
12/18/2003,44642,"Orange, MA",14.2,$1.69
12/22/2003,45052,"Westborough, MA",13.6,$1.75
12/28/2003,45460,"Orange, MA",,
12/30/2003,45876,"Mystic, CT",13.0,$1.94
12/31/2003,46331,"Woodbridge, VA",13.7,$1.59
1/4/2004,46769,"Colonial Heights, VA",13.0,$1.52
1/5/2004,47169,"Liberty Corner, NJ",12.7,$1.83
1/8/2004,47590,"Amherst, MA",13.9,$1.62
1/12/2004,47957,"Orange, MA",13.0,$1.75
,48326,"Orange, MA",12.5,$1.79
1/28/2004,48671,"Fitchburg, MA",5.3,$1.89
1/30/2004,48847,"Belchertown, MA",13.6,$1.92
2/8/2004,49252,"Newton, MA",14.4,$1.89
2/20/2004,49627,"Palmer, MA",13.5,$1.83
2/29/2004,50027,"Newton, MA",13.6,$1.95
3/7/2004,50419,"Charlton, MA",13.1,$1.93
3/16/2004,50791,"Charlton, MA",12.8,$1.93
3/22/2004,51207,"Palmer, MA",13.8,$1.91
3/29/2004,51607,"Charlton, MA",13.1,$1.94
4/14/2004,52023,"Thorndike, MA",13.3,$1.93
4/23/2004,52457,"Northampton, MA",13.8,$1.99
5/5/2004,52869,"Natick, MA",14.0,$2.02
